"Add Store","Dodaj Sklep"
"Refresh","Odśwież"
"Open","Otwórz"
"%s user has been refreshed.","Użytkownik %s został odświeżony."
"DataFeedWatch","DataFeedWatch"
"DataFeedWatch API","DataFeedWatch API"
"Retrieve extension version","Zwraca wersję modułu"
"Retrieve datetime in GMT","Zwraca datetime in GMT"
"Retrieve stores","Zwraca sklepy"
"Retrieve products","Zwraca produkty"
"Retrieve product count","Zwraca ilość produktów"
"Retrieve products based on last update","Zwraca produkty bazując na ostatniej aktualizacji produktów"
"Retrieve product count based on last update","Zwraca ilość produktów bazując na ostatniej aktualizacji produktów"
"Retrieve Product Ids","Zwraca ID produktów"
"Settings","Ustawienia"
"General Configuration","Ogolna konfiguracja"
"Go To My DataFeedWatch","Przejdź do panelu DataFeedWatch"
"Debug Mode","Tryb Debugowania"
"Refresh DataFeedWatch Access","Odśwież Dostęp Do DataFeedWatch"
"Refresh DataFeedWatch access: SOAP user and role","Odśwież Dostęp Do DataFeedWatch: użytkownik i rola SOAP"
"Add Store To DataFeedWatch","Dodaj Sklep Do DataFeedWatch"
"Inheritance","Dziedziczenie"
"Inherit Product Url In Child Products","Dziedzicz URL Produktu W Produktach Potomnych"
"Inherit Image Url In Child Products","Dziedzicz URL Głównego Obrazka W Produktach Potomnych"
"Child","Produkt Potomny"
"Parent","Produkt Nadrzędny"
"Child Then Parent","Najpierw Produkt Potomny Później Produkt Nadrzędny"
"Not Defined","Niezdefiniowane"
"Import To DataFeedWatch","Importuj Do DataFeedWatch"
"DataFeedWatch Inheritance","Dziedziczenie DataFeedWatch"
"Debug data will be written to var/log/DataFeedWatch_Connector/. Please save after change","Dane do debugowania zostaną zapisane w var/log/DataFeedWatch_Connector/. Proszę zapisać zmianę"
"Attributes","Atrybuty"
"Import","Import"
"Every change is save automatically","Każda zmiana jest automatycznie zapisywana"
"Please save after change","Proszę zapisać zmianę"
"Restore","Przywróć"
"Restore Original Config","Przywróć Oryginalną Konfigurację"
"Reset Inheritance Logic Configuration","Zresetuj Konfigurację Logiki Dziedziczenia"
"Original inheritance configuration has been restored.","Oryginalna konfiguracja dziedziczenia została przywrócona."
"Get all product data with next download","Wymuś pełen import przy następnym imporcie"
"Get All","Wymuś"
